"","Üniversite.Adı","Engel.Türü","Üniversite.Türü","İl.Adı","Erkek","Kadın","yil"
"17","AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","AĞRI",1,0,"2013"
"18","AKDENİZ ÜNİVERSİTESİ","DİĞER","DEVLET","ANTALYA",34,16,"2013"
"19","AKDENİZ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANTALYA",26,11,"2013"
"20","AKDENİZ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANTALYA",25,11,"2013"
"21","AKDENİZ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANTALYA",3,2,"2013"
"22","AKDENİZ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ANTALYA",4,4,"2013"
"23","AKDENİZ ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","ANTALYA",2,1,"2013"
"24","AKSARAY ÜNİVERSİTESİ","DİĞER","DEVLET","AKSARAY",0,1,"2013"
"25","AKSARAY ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","AKSARAY",0,1,"2013"
"26","AKSARAY ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","AKSARAY",5,4,"2013"
"27","AKSARAY ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","AKSARAY",5,0,"2013"
"28","AKSARAY ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","AKSARAY",1,0,"2013"
"29","AMASYA ÜNİVERSİTESİ","DİĞER","DEVLET","AMASYA",7,2,"2013"
"30","AMASYA ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","AMASYA",5,1,"2013"
"31","AMASYA ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","DEVLET","AMASYA",2,1,"2013"
"32","AMASYA ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","AMASYA",4,2,"2013"
"33","AMASYA ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","AMASYA",0,4,"2013"
"34","ANADOLU ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","ESKİŞEHİR",0,1,"2013"
"35","ANADOLU ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ESKİŞEHİR",18611,12733,"2013"
"36","ANADOLU ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ESKİŞEHİR",13112,9202,"2013"
"37","ANADOLU ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ESKİŞEHİR",9,9,"2013"
"38","ANADOLU ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ESKİŞEHİR",9,8,"2013"
"39","ANKARA ÜNİVERSİTESİ","DİĞER","DEVLET","ANKARA",6,4,"2013"
"40","ANKARA ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANKARA",2,1,"2013"
"41","ANKARA ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","DEVLET","ANKARA",0,1,"2013"
"42","ANKARA ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANKARA",13,7,"2013"
"43","ANKARA ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANKARA",3,3,"2013"
"44","ARTVİN ÇORUH ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ARTVİN",2,0,"2013"
"45","ARTVİN ÇORUH ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ARTVİN",1,0,"2013"
"46","ATATÜRK ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ERZURUM",49,19,"2013"
"47","ATATÜRK ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ERZURUM",29,13,"2013"
"48","ATATÜRK ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ERZURUM",5,1,"2013"
"49","ATATÜRK ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ERZURUM",73,24,"2013"
"50","ATATÜRK ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","ERZURUM",4,2,"2013"
"51","ATILIM ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","ANKARA",0,1,"2013"
"52","BALIKESİR ÜNİVERSİTESİ","DİĞER","DEVLET","BALIKESİR",4,4,"2013"
"53","BALIKESİR ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","DEVLET","BALIKESİR",8,4,"2013"
"54","BALIKESİR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","BALIKESİR",2,0,"2013"
"55","BALIKESİR ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","DEVLET","BALIKESİR",0,1,"2013"
"56","BALIKESİR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","BALIKESİR",6,5,"2013"
"57","BALIKESİR ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","BALIKESİR",9,6,"2013"
"58","BARTIN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","BARTIN",4,0,"2013"
"59","BARTIN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","BARTIN",1,0,"2013"
"60","BARTIN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","BARTIN",1,0,"2013"
"61","BAŞKENT ÜNİVERSİTESİ","DİĞER","VAKIF","ANKARA",1,0,"2013"
"62","BAŞKENT ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","ANKARA",1,1,"2013"
"63","BAŞKENT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","ANKARA",5,3,"2013"
"64","BAŞKENT ÜNİVERSİTESİ","GEÇİCİ
  YETERSİZLİKLERİ OLANLAR","VAKIF","ANKARA",0,1,"2013"
"65","BAŞKENT ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","ANKARA",2,4,"2013"
"66","BAŞKENT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","ANKARA",2,1,"2013"
"67","BAŞKENT ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","VAKIF","ANKARA",1,0,"2013"
"68","BATMAN ÜNİVERSİTESİ","DİĞER","DEVLET","BATMAN",7,0,"2013"
"69","BATMAN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","BATMAN",9,2,"2013"
"70","BATMAN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","BATMAN",6,1,"2013"
"71","BEYKENT ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",1,2,"2013"
"72","BEYKENT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",1,0,"2013"
"73","BEYKOZ LOJİSTİK MESLEK YÜKSEKOKULU","DİL VE KONUŞMA PROBLEMLİLER","VAKIF MYO","İSTANBUL",3,1,"2013"
"74","BEYKOZ LOJİSTİK MESLEK YÜKSEKOKULU","KRONİK
  SAĞLIK SORUNLARI","VAKIF MYO","İSTANBUL",1,2,"2013"
"75","BEYKOZ LOJİSTİK MESLEK YÜKSEKOKULU","PSİKOLOJİK
  PROBLEMLİLER","VAKIF MYO","İSTANBUL",0,2,"2013"
"76","BEZM-İ ALEM VAKIF ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",1,0,"2013"
"77","BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ","DİĞER","DEVLET","BİLECİK",1,0,"2013"
"78","BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","BİLECİK",3,0,"2013"
"79","BİNGÖL ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","BİNGÖL",15,3,"2013"
"80","BİNGÖL ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","BİNGÖL",2,1,"2013"
"81","BİNGÖL ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","BİNGÖL",4,0,"2013"
"82","BOĞAZİÇİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İSTANBUL",2,1,"2013"
"83","BOĞAZİÇİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İSTANBUL",12,6,"2013"
"84","BURSA ORHANGAZİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","BURSA",0,1,"2013"
"85","BÜLENT ECEVİT ÜNİVERSİTESİ","DİĞER","DEVLET","ZONGULDAK",1,0,"2013"
"86","BÜLENT ECEVİT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ZONGULDAK",8,2,"2013"
"87","BÜLENT ECEVİT ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ZONGULDAK",2,1,"2013"
"88","BÜLENT ECEVİT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ZONGULDAK",3,1,"2013"
"89","BÜLENT ECEVİT ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ZONGULDAK",1,0,"2013"
"90","CANİK BAŞARI ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","SAMSUN",1,0,"2013"
"91","CELAL BAYAR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","MANİSA",21,11,"2013"
"92","CELAL BAYAR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","MANİSA",21,8,"2013"
"93","CELAL BAYAR ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","MANİSA",11,6,"2013"
"94","CELAL BAYAR ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","MANİSA",7,4,"2013"
"95","CUMHURİYET ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","SİVAS",40,18,"2013"
"96","CUMHURİYET ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","SİVAS",12,14,"2013"
"97","ÇAĞ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İÇEL",1,0,"2013"
"98","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DİĞER","DEVLET","ÇANAKKALE",5,0,"2013"
"99","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇANAKKALE",8,6,"2013"
"100","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇANAKKALE",9,3,"2013"
"101","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇANAKKALE",2,4,"2013"
"102","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","DİĞER","DEVLET","ÇANKIRI",2,1,"2013"
"103","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇANKIRI",1,0,"2013"
"104","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇANKIRI",1,2,"2013"
"105","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇANKIRI",2,1,"2013"
"106","DİCLE ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","DİYARBAKIR",1,0,"2013"
"107","DOĞUŞ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",5,2,"2013"
"108","DOĞUŞ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",3,1,"2013"
"109","DOĞUŞ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",2,3,"2013"
"110","DOĞUŞ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",7,11,"2013"
"111","DOĞUŞ ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","VAKIF","İSTANBUL",2,0,"2013"
"112","DOKUZ EYLÜL ÜNİVERSİTESİ","DİĞER","DEVLET","İZMİR",47,20,"2013"
"113","DOKUZ EYLÜL ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","İZMİR",32,12,"2013"
"114","DOKUZ EYLÜL ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İZMİR",151,102,"2013"
"115","DOKUZ EYLÜL ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İZMİR",619,458,"2013"
"116","DOKUZ EYLÜL ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","İZMİR",67,44,"2013"
"117","DOKUZ EYLÜL ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","İZMİR",208,223,"2013"
"118","DOKUZ EYLÜL ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","İZMİR",13,10,"2013"
"119","DUMLUPINAR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","KÜTAHYA",0,1,"2013"
"120","DÜZCE ÜNİVERSİTESİ","DİĞER","DEVLET","DÜZCE",1,1,"2013"
"121","DÜZCE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","DÜZCE",4,0,"2013"
"122","DÜZCE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","DÜZCE",3,2,"2013"
"123","DÜZCE ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","DÜZCE",3,0,"2013"
"124","EGE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","İZMİR",1,0,"2013"
"125","EGE ÜNİVERSİTESİ","ZİHİNSEL ENGELLİLER","DEVLET","İZMİR",2,0,"2013"
"126","ERCİYES ÜNİVERSİTESİ","DİĞER","DEVLET","KAYSERİ",17,7,"2013"
"127","ERCİYES ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","DEVLET","KAYSERİ",1,0,"2013"
"128","ERCİYES ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","KAYSERİ",1,2,"2013"
"129","ERCİYES ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","KAYSERİ",6,3,"2013"
"130","ERCİYES ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","KAYSERİ",1,3,"2013"
"131","ERCİYES ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","KAYSERİ",2,0,"2013"
"132","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","DİĞER","DEVLET","ESKİŞEHİR",5,1,"2013"
"133","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ESKİŞEHİR",4,6,"2013"
"134","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ESKİŞEHİR",2,2,"2013"
"135","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ESKİŞEHİR",3,0,"2013"
"136","FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU","FİZİKSEL
  ENGELLİLER","VAKIF MYO","BURSA",0,1,"2013"
"137","FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",0,1,"2013"
"138","FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",0,1,"2013"
"139","FATİH ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",6,5,"2013"
"140","FATİH ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,3,"2013"
"141","FATİH ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",0,1,"2013"
"142","FIRAT ÜNİVERSİTESİ","DİĞER","DEVLET","ELAZIĞ",1,0,"2013"
"143","FIRAT ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","ELAZIĞ",0,1,"2013"
"144","GALATASARAY ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","İSTANBUL",1,1,"2013"
"145","GAZİ ÜNİVERSİTESİ","DİĞER","DEVLET","ANKARA",2,6,"2013"
"146","GAZİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANKARA",13,10,"2013"
"147","GAZİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANKARA",14,15,"2013"
"148","GAZİ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANKARA",4,6,"2013"
"149","GAZİOSMANPAŞA ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","TOKAT",5,0,"2013"
"150","GAZİOSMANPAŞA ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","TOKAT",7,1,"2013"
"151","GAZİOSMANPAŞA ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","TOKAT",1,0,"2013"
"152","GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ","FİZİKSEL
  ENGELLİLER","DEVLET","KOCAELİ",1,0,"2013"
"153","GEDİK ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",0,2,"2013"
"154","GEDİK ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",1,1,"2013"
"155","GEDİK ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",1,0,"2013"
"156","GEDİZ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İZMİR",0,2,"2013"
"157","GEDİZ ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İZMİR",1,0,"2013"
"158","GİRESUN ÜNİVERSİTESİ","DİĞER","DEVLET","GİRESUN",2,1,"2013"
"159","GİRESUN ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","GİRESUN",1,3,"2013"
"160","GİRESUN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","GİRESUN",3,4,"2013"
"161","GÜMÜŞHANE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","GÜMÜŞHANE",7,7,"2013"
"162","GÜMÜŞHANE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","GÜMÜŞHANE",2,2,"2013"
"163","GÜMÜŞHANE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","GÜMÜŞHANE",3,1,"2013"
"164","GÜMÜŞHANE ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","GÜMÜŞHANE",1,0,"2013"
"165","HACETTEPE ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","DEVLET","ANKARA",8,7,"2013"
"166","HACETTEPE ÜNİVERSİTESİ","DİĞER","DEVLET","ANKARA",52,47,"2013"
"167","HACETTEPE ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ANKARA",4,5,"2013"
"168","HACETTEPE ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ANKARA",38,37,"2013"
"169","HACETTEPE ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ANKARA",20,12,"2013"
"170","HACETTEPE ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ANKARA",11,21,"2013"
"171","HACETTEPE ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","DEVLET","ANKARA",3,0,"2013"
"172","HACETTEPE ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","DEVLET","ANKARA",18,23,"2013"
"173","HAKKARİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","HAKKARİ",1,0,"2013"
"174","HASAN KALYONCU ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","GAZİANTEP",3,0,"2013"
"175","HASAN KALYONCU ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","GAZİANTEP",1,0,"2013"
"176","HİTİT ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","ÇORUM",7,2,"2013"
"177","HİTİT ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","ÇORUM",3,0,"2013"
"178","HİTİT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","DEVLET","ÇORUM",1,0,"2013"
"179","HİTİT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","DEVLET","ÇORUM",1,1,"2013"
"180","IĞDIR ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","DEVLET","IĞDIR",3,1,"2013"
"181","IĞDIR ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","IĞDIR",1,0,"2013"
"182","IŞIK ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",1,0,"2013"
"183","IŞIK ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",2,2,"2013"
"184","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİĞER","VAKIF","ANKARA",19,19,"2013"
"185","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","ANKARA",15,8,"2013"
"186","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","ANKARA",5,2,"2013"
"187","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","ANKARA",8,2,"2013"
"188","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","ANKARA",3,2,"2013"
"189","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","ANKARA",12,5,"2013"
"190","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","VAKIF","ANKARA",0,1,"2013"
"191","İNÖNÜ ÜNİVERSİTESİ","GÖRME ENGELLİLER","DEVLET","MALATYA",1,0,"2013"
"192","İSTANBUL AYDIN ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",7,4,"2013"
"193","İSTANBUL AYDIN ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",11,4,"2013"
"194","İSTANBUL AYDIN ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",19,12,"2013"
"195","İSTANBUL AYDIN ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",10,6,"2013"
"196","İSTANBUL AYDIN ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",6,5,"2013"
"197","İSTANBUL BİLGİ ÜNİVERSİTESİ","FİZİKSEL
  ENGELLİLER","VAKIF","İSTANBUL",5,5,"2013"
"198","İSTANBUL BİLGİ ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",4,2,"2013"
"199","İSTANBUL BİLGİ ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",1,0,"2013"
"200","İSTANBUL BİLGİ ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","VAKIF","İSTANBUL",1,0,"2013"
"201","İSTANBUL GELİŞİM ÜNİVERSİTESİ","ASPERGER VEYA YÜKSEK
  FONKSİYONLU OTİSTİK
  BİREYLER","VAKIF","İSTANBUL",0,1,"2013"
"202","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİĞER","VAKIF","İSTANBUL",47,95,"2013"
"203","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİKKAT EKSİKLİĞİ (HİPERAKTİF)","VAKIF","İSTANBUL",2,0,"2013"
"204","İSTANBUL GELİŞİM ÜNİVERSİTESİ","DİL VE KONUŞMA PROBLEMLİLER","VAKIF","İSTANBUL",4,2,"2013"
"205","İSTANBUL GELİŞİM ÜNİVERSİTESİ","GÖRME ENGELLİLER","VAKIF","İSTANBUL",0,2,"2013"
"206","İSTANBUL GELİŞİM ÜNİVERSİTESİ","İŞİTME
  ENGELLİLER","VAKIF","İSTANBUL",0,3,"2013"
"207","İSTANBUL GELİŞİM ÜNİVERSİTESİ","KRONİK
  SAĞLIK SORUNLARI","VAKIF","İSTANBUL",5,8,"2013"
"208","İSTANBUL GELİŞİM ÜNİVERSİTESİ","ÖĞRENME GÜÇLÜĞÜ","VAKIF","İSTANBUL",2,0,"2013"
"209","İSTANBUL GELİŞİM ÜNİVERSİTESİ","PSİKOLOJİK
  PROBLEMLİLER","VAKIF","İSTANBUL",3,0,"2013"
